Toggle Attrition/Retention 1,0,Age,Age (copy),Age group,Attrition,Attrition %,Attrition Count,Attrition Date,Attrition Label,Avg. Satisfaction Score,Department,Dynamic Date,Education,Education Field,Education Label,Education Switch Calc,Employee Count,Employee No.,Employee Number,Environment Satisfaction,Gender,Heat Map - Attrition Emp,Heat Map - Current Emp,Job Involvement,Job Role,Job Satisfaction,Monthly Income,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Toggle - Trend Switch,Toggle Attrition/Retention 2,Work Life Balance
TRUE,0,34,34,25-34,Yes,0.000680272,1,4/1/2022,Attrited Employees,2.4,R & D,4/1/2022,High School,Medical,E D U C A T I O N,High School,1,E_31,31,2,Male,1,0,3,Research Scientist,1,2960,11,3,3,Month,Attrition,3
TRUE,0,53,53,45-55,No,,,,Current Employees,3,R & D,,Bachelor's Degree,Other,E D U C A T I O N,Bachelor's Degree,1,E_32,32,3,Female,,1,3,Manager,3,19094,11,3,4,Month,Retention,2
TRUE,0,32,32,25-34,Yes,0.000680272,1,10/13/2021,Attrited Employees,1.8,R & D,10/1/2021,High School,Life Sciences,E D U C A T I O N,High School,1,E_33,33,2,Female,1,0,1,Research Scientist,1,3919,22,4,2,Month,Attrition,3
TRUE,0,42,42,35-44,No,,,,Current Employees,3,Sales,,Master's Degree,Marketing,E D U C A T I O N,Master's Degree,1,E_35,35,3,Male,,1,3,Sales Executive,2,6825,11,3,4,Month,Retention,3
TRUE,0,44,44,35-44,No,,,,Current Employees,2.8,R & D,,Master's Degree,Medical,E D U C A T I O N,Master's Degree,1,E_36,36,1,Female,,1,2,Healthcare Representative,4,10248,14,3,4,Month,Retention,3
TRUE,0,46,46,45-55,No,,,,Current Employees,2.4,Sales,,Master's Degree,Marketing,E D U C A T I O N,Master's Degree,1,E_38,38,2,Female,,1,3,Manager,1,18947,12,3,4,Month,Retention,2
TRUE,0,33,33,25-34,No,,,,Current Employees,3.4,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_39,39,3,Male,,1,3,Laboratory Technician,4,2496,11,3,4,Month,Retention,3
TRUE,0,44,44,35-44,No,,,,Current Employees,3.8,R & D,,Master's Degree,Other,E D U C A T I O N,Master's Degree,1,E_40,40,4,Male,,1,3,Healthcare Representative,4,6465,13,3,4,Month,Retention,4
TRUE,0,30,30,25-34,No,,,,Current Employees,2.6,R & D,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_41,41,4,Male,,1,2,Laboratory Technician,3,2206,13,3,1,Month,Retention,3
TRUE,0,39,39,35-44,Yes,0.000680272,1,2/22/2022,Attrited Employees,3.6,Sales,2/1/2022,Bachelor's Degree,Technical Degree,E D U C A T I O N,Bachelor's Degree,1,E_42,42,4,Male,1,0,3,Sales Representative,4,2086,14,3,3,Month,Attrition,4
TRUE,0,24,24,< 25,Yes,0.000680272,1,5/6/2022,Attrited Employees,2.4,R & D,5/1/2022,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_45,45,2,Male,1,0,3,Research Scientist,4,2293,16,3,1,Month,Attrition,2
TRUE,0,43,43,35-44,No,,,,Current Employees,3.4,R & D,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_46,46,4,Female,,1,4,Research Scientist,3,2645,12,3,4,Month,Retention,2
TRUE,0,50,50,45-55,Yes,0.000680272,1,4/16/2022,Attrited Employees,2.4,Sales,4/1/2022,Associates Degree,Marketing,E D U C A T I O N,Associates Degree,1,E_47,47,1,Male,1,0,2,Sales Representative,3,2683,14,3,3,Month,Attrition,3
TRUE,0,35,35,35-44,No,,,,Current Employees,3,Sales,,Bachelor's Degree,Marketing,E D U C A T I O N,Bachelor's Degree,1,E_49,49,4,Female,,1,3,Sales Representative,4,2014,13,3,1,Month,Retention,3
TRUE,0,36,36,35-44,No,,,,Current Employees,2.6,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_51,51,2,Female,,1,2,Research Scientist,1,3419,14,3,4,Month,Retention,4
TRUE,0,33,33,25-34,No,,,,Current Employees,2.4,Sales,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_52,52,3,Female,,1,4,Sales Executive,1,5376,19,3,1,Month,Retention,3
TRUE,0,35,35,35-44,No,,,,Current Employees,3.2,R & D,,Associates Degree,Other,E D U C A T I O N,Associates Degree,1,E_53,53,3,Male,,1,3,Laboratory Technician,4,1951,12,3,3,Month,Retention,3
TRUE,0,27,27,25-34,No,,,,Current Employees,3,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_54,54,4,Female,,1,3,Laboratory Technician,1,2341,13,3,4,Month,Retention,3
TRUE,0,26,26,25-34,Yes,0.000680272,1,6/22/2021,Attrited Employees,2,R & D,6/1/2021,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_55,55,1,Male,1,0,1,Laboratory Technician,3,2293,12,3,3,Month,Attrition,2
TRUE,0,27,27,25-34,No,,,,Current Employees,3.4,Sales,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_56,56,4,Male,,1,3,Sales Executive,3,8726,15,3,4,Month,Retention,3
TRUE,0,30,30,25-34,No,,,,Current Employees,3.4,R & D,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_57,57,3,Female,,1,3,Laboratory Technician,4,4011,23,4,4,Month,Retention,3
TRUE,0,41,41,35-44,Yes,0.000680272,1,11/2/2021,Attrited Employees,3,R & D,11/1/2021,Bachelor's Degree,Technical Degree,E D U C A T I O N,Bachelor's Degree,1,E_58,58,2,Female,1,0,3,Research Director,3,19545,12,3,4,Month,Attrition,3
TRUE,0,34,34,25-34,No,,,,Current Employees,2.8,Sales,,Master's Degree,Marketing,E D U C A T I O N,Master's Degree,1,E_60,60,2,Male,,1,3,Sales Executive,3,4568,20,4,3,Month,Retention,3
TRUE,0,37,37,35-44,No,,,,Current Employees,2.2,R & D,,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_61,61,2,Male,,1,3,Research Scientist,2,3022,21,4,1,Month,Retention,3
TRUE,0,46,46,45-55,No,,,,Current Employees,2.8,Sales,,Master's Degree,Marketing,E D U C A T I O N,Master's Degree,1,E_62,62,1,Male,,1,3,Sales Executive,4,5772,21,4,3,Month,Retention,3
TRUE,0,35,35,35-44,No,,,,Current Employees,3.8,R & D,,High School,Life Sciences,E D U C A T I O N,High School,1,E_63,63,4,Male,,1,4,Laboratory Technician,4,2269,19,3,4,Month,Retention,3
TRUE,0,48,48,45-55,Yes,0.000680272,1,4/30/2022,Attrited Employees,2.6,R & D,4/1/2022,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_64,64,1,Male,1,0,2,Laboratory Technician,3,5381,13,3,4,Month,Attrition,3
TRUE,0,28,28,25-34,Yes,0.000680272,1,2/22/2022,Attrited Employees,2.8,R & D,2/1/2022,Master's Degree,Technical Degree,E D U C A T I O N,Master's Degree,1,E_65,65,3,Male,1,0,3,Laboratory Technician,3,3441,13,3,3,Month,Attrition,2
TRUE,0,44,44,35-44,No,,,,Current Employees,2.2,Sales,,Doctoral Degree,Marketing,E D U C A T I O N,Doctoral Degree,1,E_68,68,2,Female,,1,3,Sales Executive,1,5454,21,4,3,Month,Retention,2
TRUE,0,35,35,35-44,No,,,,Current Employees,2.4,R & D,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_70,70,3,Male,,1,2,Healthcare Representative,1,9884,13,3,3,Month,Retention,3
TRUE,0,26,26,25-34,No,,,,Current Employees,2.8,Sales,,Bachelor's Degree,Marketing,E D U C A T I O N,Bachelor's Degree,1,E_72,72,3,Female,,1,2,Sales Executive,4,4157,19,3,3,Month,Retention,2
TRUE,0,33,33,25-34,No,,,,Current Employees,2.8,R & D,,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_73,73,1,Female,,1,3,Research Director,4,13458,12,3,3,Month,Retention,3
TRUE,0,35,35,35-44,No,,,,Current Employees,2.4,Sales,,Doctoral Degree,Life Sciences,E D U C A T I O N,Doctoral Degree,1,E_74,74,2,Male,,1,3,Sales Executive,1,9069,22,4,4,Month,Retention,2
TRUE,0,35,35,35-44,No,,,,Current Employees,2.6,R & D,,Master's Degree,Medical,E D U C A T I O N,Master's Degree,1,E_75,75,3,Female,,1,3,Laboratory Technician,1,4014,15,3,3,Month,Retention,3
TRUE,0,31,31,25-34,No,,,,Current Employees,3.4,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_76,76,4,Male,,1,3,Laboratory Technician,4,5915,22,4,4,Month,Retention,2
TRUE,0,37,37,35-44,No,,,,Current Employees,2.6,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_77,77,1,Male,,1,2,Manufacturing Director,3,5993,18,3,3,Month,Retention,4
TRUE,0,32,32,25-34,No,,,,Current Employees,2.6,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_78,78,1,Male,,1,3,Manufacturing Director,4,6162,22,4,2,Month,Retention,3
TRUE,0,38,38,35-44,No,,,,Current Employees,3.6,R & D,,Doctoral Degree,Life Sciences,E D U C A T I O N,Doctoral Degree,1,E_79,79,4,Female,,1,3,Laboratory Technician,4,2406,11,3,4,Month,Retention,3
TRUE,0,50,50,45-55,No,,,,Current Employees,2.6,R & D,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_80,80,2,Female,,1,2,Research Director,3,18740,12,3,4,Month,Retention,2
TRUE,0,59,59,> 55,No,,,,Current Employees,2.2,Sales,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_81,81,1,Female,,1,3,Sales Executive,1,7637,11,3,4,Month,Retention,2
TRUE,0,36,36,35-44,No,,,,Current Employees,2.8,R & D,,Bachelor's Degree,Technical Degree,E D U C A T I O N,Bachelor's Degree,1,E_83,83,3,Female,,1,3,Healthcare Representative,3,10096,13,3,2,Month,Retention,3
TRUE,0,55,55,45-55,No,,,,Current Employees,3.2,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_84,84,4,Female,,1,3,Manager,3,14756,14,3,3,Month,Retention,3
TRUE,0,36,36,35-44,No,,,,Current Employees,2.4,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_85,85,2,Male,,1,2,Manufacturing Director,2,6499,13,3,3,Month,Retention,3
TRUE,0,45,45,45-55,No,,,,Current Employees,2.4,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_86,86,2,Male,,1,3,Research Scientist,1,9724,17,3,3,Month,Retention,3
TRUE,0,35,35,35-44,No,,,,Current Employees,2.4,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_88,88,2,Male,,1,3,Research Scientist,1,2194,13,3,4,Month,Retention,2
TRUE,0,36,36,35-44,Yes,0.000680272,1,3/11/2022,Attrited Employees,2.4,R & D,3/1/2022,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_90,90,4,Male,1,0,2,Research Scientist,3,3388,17,3,1,Month,Attrition,2
TRUE,0,59,59,> 55,No,,,,Current Employees,2.4,Sales,,High School,Life Sciences,E D U C A T I O N,High School,1,E_91,91,1,Female,,1,2,Sales Executive,3,5473,11,3,4,Month,Retention,2
TRUE,0,29,29,25-34,No,,,,Current Employees,3,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_94,94,3,Male,,1,3,Research Scientist,2,2703,23,4,4,Month,Retention,3
TRUE,0,31,31,25-34,No,,,,Current Employees,2.6,R & D,,Master's Degree,Medical,E D U C A T I O N,Master's Degree,1,E_95,95,3,Male,,1,3,Research Scientist,2,2501,17,3,2,Month,Retention,3
TRUE,0,32,32,25-34,No,,,,Current Employees,2.4,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_96,96,2,Male,,1,3,Research Scientist,2,6220,17,3,2,Month,Retention,3
TRUE,0,36,36,35-44,No,,,,Current Employees,3,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_97,97,2,Female,,1,4,Laboratory Technician,4,3038,12,3,2,Month,Retention,3
TRUE,0,31,31,25-34,No,,,,Current Employees,3.4,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_98,98,3,Female,,1,3,Manufacturing Director,4,4424,23,4,4,Month,Retention,3
TRUE,0,35,35,35-44,No,,,,Current Employees,2.2,Sales,,Master's Degree,Marketing,E D U C A T I O N,Master's Degree,1,E_100,100,3,Male,,1,2,Sales Executive,1,4312,14,3,2,Month,Retention,3
TRUE,0,45,45,45-55,No,,,,Current Employees,2.8,R & D,,Master's Degree,Other,E D U C A T I O N,Master's Degree,1,E_101,101,4,Male,,1,3,Research Director,1,13245,14,3,2,Month,Retention,4
TRUE,0,37,37,35-44,No,,,,Current Employees,2.4,R & D,,Master's Degree,Medical,E D U C A T I O N,Master's Degree,1,E_102,102,1,Male,,1,3,Research Director,3,13664,13,3,1,Month,Retention,4
TRUE,0,46,46,45-55,No,,,,Current Employees,2.8,HR,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_103,103,2,Male,,1,3,Human Resources,2,5021,22,4,4,Month,Retention,3
TRUE,0,30,30,25-34,No,,,,Current Employees,3,R & D,,High School,Life Sciences,E D U C A T I O N,High School,1,E_104,104,4,Male,,1,2,Laboratory Technician,4,5126,12,3,3,Month,Retention,2
TRUE,0,35,35,35-44,No,,,,Current Employees,2.2,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_105,105,2,Male,,1,2,Research Scientist,3,2859,18,3,1,Month,Retention,3
TRUE,0,55,55,45-55,No,,,,Current Employees,3,Sales,,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_106,106,1,Male,,1,3,Sales Executive,4,10239,14,3,4,Month,Retention,3
TRUE,0,38,38,35-44,No,,,,Current Employees,2.8,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_107,107,2,Female,,1,1,Research Scientist,4,5329,12,3,4,Month,Retention,3
TRUE,0,34,34,25-34,No,,,,Current Employees,2.4,R & D,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_110,110,1,Male,,1,3,Manufacturing Director,2,4325,15,3,3,Month,Retention,3
TRUE,0,56,56,> 55,No,,,,Current Employees,2.4,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_112,112,4,Male,,1,1,Manufacturing Director,4,7260,11,3,1,Month,Retention,2
TRUE,0,23,23,< 25,No,,,,Current Employees,2.6,Sales,,High School,Technical Degree,E D U C A T I O N,High School,1,E_113,113,3,Male,,1,3,Sales Representative,1,2322,13,3,3,Month,Retention,3
TRUE,0,51,51,45-55,No,,,,Current Employees,3.2,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_116,116,4,Male,,1,3,Laboratory Technician,4,2075,23,4,2,Month,Retention,3
TRUE,0,30,30,25-34,No,,,,Current Employees,2.6,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_117,117,3,Male,,1,2,Healthcare Representative,4,4152,19,3,1,Month,Retention,3
TRUE,0,46,46,45-55,Yes,0.000680272,1,3/11/2022,Attrited Employees,3.2,Sales,3/1/2022,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_118,118,3,Male,1,0,2,Sales Executive,4,9619,16,3,4,Month,Attrition,3
TRUE,0,40,40,35-44,No,,,,Current Employees,2.6,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_119,119,3,Male,,1,2,Healthcare Representative,2,13503,22,4,4,Month,Retention,2
TRUE,0,51,51,45-55,No,,,,Current Employees,3,Sales,,Master's Degree,Marketing,E D U C A T I O N,Master's Degree,1,E_120,120,3,Male,,1,3,Sales Executive,4,5441,22,4,4,Month,Retention,1
TRUE,0,30,30,25-34,No,,,,Current Employees,2.2,Sales,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_121,121,3,Female,,1,2,Sales Executive,2,5209,12,3,2,Month,Retention,2
TRUE,0,46,46,45-55,No,,,,Current Employees,2.2,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_124,124,3,Male,,1,2,Healthcare Representative,1,10673,13,3,3,Month,Retention,2
TRUE,0,32,32,25-34,No,,,,Current Employees,2.4,Sales,,Master's Degree,Medical,E D U C A T I O N,Master's Degree,1,E_125,125,2,Male,,1,3,Sales Executive,3,5010,16,3,1,Month,Retention,3
TRUE,0,54,54,45-55,No,,,,Current Employees,1.8,R & D,,Master's Degree,Technical Degree,E D U C A T I O N,Master's Degree,1,E_126,126,1,Female,,1,3,Research Director,3,13549,12,3,1,Month,Retention,1
TRUE,0,24,24,< 25,No,,,,Current Employees,2,Sales,,Associates Degree,Other,E D U C A T I O N,Associates Degree,1,E_128,128,1,Female,,1,3,Sales Executive,3,4999,21,4,1,Month,Retention,2
TRUE,0,28,28,25-34,No,,,,Current Employees,2.8,Sales,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_129,129,2,Male,,1,3,Sales Executive,3,4221,15,3,2,Month,Retention,4
TRUE,0,58,58,> 55,No,,,,Current Employees,3,Sales,,Master's Degree,Medical,E D U C A T I O N,Master's Degree,1,E_131,131,4,Male,,1,3,Sales Executive,3,13872,13,3,3,Month,Retention,2
TRUE,0,44,44,35-44,No,,,,Current Employees,2.8,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_132,132,2,Male,,1,3,Laboratory Technician,2,2042,12,3,3,Month,Retention,4
TRUE,0,37,37,35-44,Yes,0.000680272,1,2/12/2022,Attrited Employees,2.8,HR,2/1/2022,Master's Degree,Human Resources,E D U C A T I O N,Master's Degree,1,E_133,133,3,Male,1,0,3,Human Resources,1,2073,22,4,4,Month,Attrition,3
TRUE,0,32,32,25-34,No,,,,Current Employees,3,R & D,,High School,Life Sciences,E D U C A T I O N,High School,1,E_134,134,4,Male,,1,3,Research Scientist,1,2956,13,3,4,Month,Retention,3
TRUE,0,20,20,< 25,Yes,0.000680272,1,2/20/2022,Attrited Employees,3,R & D,2/1/2022,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_137,137,4,Female,1,0,2,Laboratory Technician,4,2926,18,3,2,Month,Attrition,3
TRUE,0,34,34,25-34,No,,,,Current Employees,2.6,R & D,,Master's Degree,Other,E D U C A T I O N,Master's Degree,1,E_138,138,1,Female,,1,3,Research Scientist,3,4809,14,3,3,Month,Retention,3
TRUE,0,37,37,35-44,No,,,,Current Employees,3.4,R & D,,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_139,139,3,Male,,1,2,Healthcare Representative,4,5163,14,3,4,Month,Retention,4
TRUE,0,59,59,> 55,No,,,,Current Employees,3.2,HR,,Master's Degree,Human Resources,E D U C A T I O N,Master's Degree,1,E_140,140,3,Female,,1,2,Manager,4,18844,21,4,4,Month,Retention,3
TRUE,0,50,50,45-55,No,,,,Current Employees,1.8,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_141,141,1,Female,,1,3,Research Director,2,18172,19,3,1,Month,Retention,2
TRUE,0,25,25,25-34,Yes,0.000680272,1,3/29/2022,Attrited Employees,3,Sales,3/1/2022,Bachelor's Degree,Marketing,E D U C A T I O N,Bachelor's Degree,1,E_142,142,3,Male,1,0,2,Sales Executive,3,5744,11,3,4,Month,Attrition,3
TRUE,0,25,25,25-34,No,,,,Current Employees,3.2,R & D,,High School,Medical,E D U C A T I O N,High School,1,E_143,143,4,Male,,1,2,Research Scientist,4,2889,11,3,3,Month,Retention,3
TRUE,0,22,22,< 25,No,,,,Current Employees,3,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_144,144,2,Female,,1,3,Laboratory Technician,4,2871,15,3,3,Month,Retention,3
TRUE,0,51,51,45-55,No,,,,Current Employees,1.8,R & D,,Master's Degree,Medical,E D U C A T I O N,Master's Degree,1,E_145,145,1,Female,,1,2,Healthcare Representative,1,7484,20,4,3,Month,Retention,2
TRUE,0,34,34,25-34,Yes,0.000680272,1,2/7/2022,Attrited Employees,2.4,R & D,2/1/2022,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_147,147,1,Male,1,0,1,Laboratory Technician,3,6074,24,4,4,Month,Attrition,3
TRUE,0,54,54,45-55,No,,,,Current Employees,3.6,HR,,Bachelor's Degree,Human Resources,E D U C A T I O N,Bachelor's Degree,1,E_148,148,4,Female,,1,4,Manager,4,17328,12,3,3,Month,Retention,3
TRUE,0,24,24,< 25,No,,,,Current Employees,2.8,R & D,,High School,Life Sciences,E D U C A T I O N,High School,1,E_150,150,2,Male,,1,3,Laboratory Technician,3,2774,12,3,3,Month,Retention,3
TRUE,0,34,34,25-34,No,,,,Current Employees,2.6,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_151,151,3,Female,,1,2,Research Scientist,2,4505,15,3,3,Month,Retention,3
TRUE,0,37,37,35-44,No,,,,Current Employees,2.8,Sales,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_152,152,3,Male,,1,3,Sales Executive,4,7428,12,3,1,Month,Retention,3
TRUE,0,34,34,25-34,No,,,,Current Employees,2.6,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_153,153,3,Female,,1,2,Manager,1,11631,12,3,4,Month,Retention,3
